model,reference,n_items,primary_agreement,primary_cohen_kappa,mean_jaccard,mean_per_category_cohen_kappa
kimi-k2.7-code:cloud,gemma4:31b-cloud,918,0.7559912854030502,0.7234076895761372,0.6234788903906551,0.6223371216925221
qwen3.5:cloud,gemma4:31b-cloud,918,0.7331154684095861,0.6972010178117048,0.6276755409925345,0.6147503841525244
glm-5.2:cloud,gemma4:31b-cloud,918,0.7549019607843137,0.7226898879481871,0.6558238179153212,0.6221969721043963
