model,reference,n_items,base_agreement,base_cohen_kappa,class_agreement,class_cohen_kappa
kimi-k2.7-code:cloud,gemma4:31b-cloud,918,0.7265795206971678,0.5924726523465482,0.8627450980392157,0.6057023643949933
qwen3.5:cloud,gemma4:31b-cloud,918,0.7342047930283224,0.6064647501049757,0.8605664488017429,0.6076294277929155
glm-5.2:cloud,gemma4:31b-cloud,918,0.7745098039215687,0.6687018375815056,0.8856209150326797,0.6799864544530985
