model,n_items,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,exact_match_ratio,mean_jaccard,hamming_loss,hamming_accuracy
glm-5.2:cloud,150,0.6969,0.567,0.6253,0.7218,0.4949,0.5505,0.7367,0.567,0.6107,0.18,0.5131,0.1458,0.8542
kimi-k2.7-code:cloud,150,0.6856,0.6097,0.6454,0.6877,0.5488,0.5876,0.7107,0.6097,0.6369,0.1867,0.5183,0.1437,0.8562
qwen3.5:cloud,150,0.6645,0.5961,0.6285,0.6911,0.5267,0.567,0.6993,0.5961,0.6184,0.1733,0.5134,0.1512,0.8488
gemma4:31b-cloud,150,0.602,0.8019,0.6878,0.6012,0.7668,0.6634,0.6285,0.8019,0.6963,0.1067,0.5374,0.1562,0.8438
